PATIENT,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP,FULLNAME,AGE
0cd0592a-774a-4ece-806a-5384a15af9b4,2005-03-07,,999-73-3726,,,,Renea,Bernier,NA,,,white,german,F,Fall River  Massachusetts  US,573 Towne Ramp,Carver,Massachusetts,NA,Renea Bernier,14
088efea2-9017-4b31-a25b-4bbc802025a1,1984-02-23,,999-50-8233,S99955588,X85388111X,Mrs.,Agatha,King,NA,Witting,M,white,italian,F,Milan  Lombardy  IT,933 Streich Viaduct Suite 85,Swansea,Massachusetts,NA,Agatha King,35
1e48d3da-d4f0-4680-8106-2304c9d1426e,1980-11-24,,999-88-8943,S99936609,X14382627X,Mrs.,Marivel,Thiel,NA,Jacobs,M,white,irish,F,Acushnet  Massachusetts  US,703 Leffler Haven Unit 29,Edgartown,Massachusetts,NA,Marivel Thiel,38
10440527-bf9c-4c4d-86de-89a2820a8ae0,1987-05-05,,999-28-9358,S99935338,X29790953X,Mrs.,Jesus,Brekke,NA,Will,M,white,portuguese,F,Faro  Algarve  PT,380 Feest Walk Suite 11,Springfield,Massachusetts,1013,Jesus Brekke,32
0092f96f-3672-4f3b-80f4-63a026f6b91e,1961-09-25,,999-51-2962,S99915373,X1913230X,Mrs.,Hanna,Kiehn,NA,Flatley,M,white,german,F,Holden  Massachusetts  US,675 Lowe Light,Dedham,Massachusetts,2026,Hanna Kiehn,57
399f7b32-7f47-468c-a251-1cfeb9ef218b,1967-04-29,,999-76-3014,S99934949,X10128496X,Mrs.,Rosa,Gamez,NA,Becerra,M,black,dominican,F,Wesley  Saint Andrew Parish  DM,169 Stanton Well,Grafton,Massachusetts,NA,Rosa Gamez,52
0dce3cad-570b-4569-90cf-7bc459446d46,1997-04-22,,999-95-6563,S99934691,X50392298X,Ms.,Winnie,O'Keefe,NA,,,white,french,F,Boston  Massachusetts  US,683 Fahey Route,Somerset,Massachusetts,2725,Winnie O'Keefe,22
3f597c45-35a2-4030-ad51-e15b0563c861,1997-08-13,,999-35-4316,S99976802,X5228394X,Ms.,Magdalena,Delarosa,NA,,,hispanic,puerto_rican,F,Bayamon  Puerto Rico  PR,105 Kautzer Village Apt 37,Walpole,Massachusetts,2081,Magdalena Delarosa,21
461679a5-c897-4c9a-bd78-e400589815d0,1957-12-10,,999-64-4699,S99929161,X70428723X,Mrs.,Kerry,Larson,NA,Williamson,M,white,swedish,F,Ware  Massachusetts  US,109 Funk Branch,Quincy,Massachusetts,2169,Kerry Larson,61
46e2a43a-052c-467a-a521-0414aa8e7dfa,1973-12-19,,999-50-7065,S99924127,X78427762X,Mrs.,Maple,Quitzon,NA,Murray,M,white,french,F,Haverhill  Massachusetts  US,913 Quitzon Haven,Hull,Massachusetts,2045,Maple Quitzon,45
3d2f222f-5280-4998-89d7-67deab844d72,1964-09-09,,999-13-3611,S99998350,X15390045X,Mrs.,Treena,Quitzon,NA,McClure,M,white,portuguese,F,Taunton  Massachusetts  US,941 Reynolds Key Apt 89,Winthrop,Massachusetts,2128,Treena Quitzon,54
4947d7cb-8aee-42fb-97be-0fea93ca4f05,2015-10-17,,999-13-1419,,,,Raquel,Peña,NA,,,hispanic,central_american,F,Guatemala City  Guatemala  GT,740 Will Trail Suite 98,Natick,Massachusetts,NA,Raquel Peña,3
52d18c8c-c7c8-4f00-a140-cf5eae04a551,1946-07-31,,999-31-6013,S99982116,X49742335X,Mrs.,Laronda,Ryan,NA,Kiehn,M,white,american,F,Bridgewater  Massachusetts  US,1082 Koepp Mill Unit 75,Hanover,Massachusetts,NA,Laronda Ryan,73
2d2f90bb-c8f5-46d3-83e3-7dffabc238ea,1993-10-17,,999-31-5002,S99953240,X64367903X,Ms.,Lynsey,Roberts,NA,,,white,italian,F,Waltham  Massachusetts  US,1099 Grant Mill Suite 65,Easthampton,Massachusetts,1027,Lynsey Roberts,25
54381398-926c-4ccf-8b21-df712ba37885,1958-02-17,,999-20-9412,S99910329,X62899672X,Mrs.,Katie,Maggio,NA,MacGyver,M,white,irish,F,Braintree  Massachusetts  US,315 Kihn Union,Cambridge,Massachusetts,2138,Katie Maggio,61
155e6ceb-56c5-4e24-bf85-fc68b85c34f9,2010-05-24,,999-22-6448,,,,Teresa,Arroyo,NA,,,hispanic,mexican,F,La Paz  Baja California  MX,656 Keebler Trafficway,New Bedford,Massachusetts,2740,Teresa Arroyo,9
14000fd1-f498-4627-8819-8181aaecb382,2008-02-06,,999-56-3840,,,,Shantell,Heidenreich,NA,,,white,english,F,Chicopee  Massachusetts  US,776 Morar Junction,Chelmsford,Massachusetts,NA,Shantell Heidenreich,11
53fc06bc-6314-44a7-8a42-f6dca06cbd91,1948-08-11,,999-85-2827,S99946463,X31101784X,Mrs.,Dorine,Beier,NA,Collier,M,white,italian,F,Marlborough  Massachusetts  US,701 Nienow Row Apt 83,Cambridge,Massachusetts,2138,Dorine Beier,70
3de50a46-1642-4cfc-8fc7-c3fca3d5329e,1960-11-25,,999-88-8573,S99931426,X83644037X,Mrs.,Luciana,Mills,NA,O'Keefe,M,white,german,F,Peabody  Massachusetts  US,344 Heaney Knoll Apt 63,Mashpee,Massachusetts,NA,Luciana Mills,58
29a644dc-2a42-4a0b-ba92-f352bdf0123b,1966-02-06,,999-30-7852,S99912735,X21380439X,Mrs.,Genesis,Daugherty,NA,Hayes,M,white,scottish,F,Boston  Massachusetts  US,558 Welch Boulevard Apt 35,Carver,Massachusetts,NA,Genesis Daugherty,53
