Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,UTILIZATION
d02c8e89-fbd3-4e9d-8261-19f75cdfe166,f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,Tyron Torphy,M,GENERAL PRACTICE,ONE GENERAL STREET,LAWRENCE,MA,01842,1
d22b160c-c7b8-4644-899b-d579e150cb98,e002090d-4e92-300e-b41e-7d1f21dee4c6,Loren Fay,M,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,3
69a2af19-ff8e-42d9-b826-f7faf225587c,49318f80-bd8b-3fc7-a096-ac43088b0c12,Antonia Stark,M,GENERAL PRACTICE,30 LOCUST STREET,NORTHAMPTON,MA,01060,1
65a6b3c1-b367-4f90-864e-b8513234d26b,4bdaa4c2-c664-3089-aee2-7137abbad27f,Rashad Maggio,M,GENERAL PRACTICE,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,1
df51ffcd-fc16-42af-ae62-22a1964cff65,37b4d73f-652d-3033-a16e-d97b9e8b4cda,Annette Legros,F,GENERAL PRACTICE,25 HIGHLAND AVENUE,NEWBURYPORT,MA,01950,1
59789f04-6b73-4d66-a739-273b719ae17a,5844ad77-f653-3c2b-b7dd-e97576ab3b03,Avery Muller,M,GENERAL PRACTICE,40 WRIGHT STREET,PALMER,MA,01069,3
5ddbf44d-06c1-4101-befd-716b94a6b084,08bcda9c-f8c8-3244-82d4-fc306a7a55d3,Del Williamson,M,GENERAL PRACTICE,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,02118,1
175bf904-0501-420a-bf15-d8aea5d3ed7b,4861d01f-019c-3dac-a153-8334e50919f9,Sharyl Hilpert,F,GENERAL PRACTICE,81 HIGHLAND AVENUE,SALEM,MA,01970,3
1d6a3766-e743-4637-b472-4562f5c362f8,4f3a530e-a2f7-3de0-9a09-c0a70a9ab894,Lloyd Effertz,M,GENERAL PRACTICE,725 NORTH STREET,PITTSFIELD,MA,01201,1
feb05b2f-65b6-42d0-89d0-8741dabb3936,b1ddf812-1fdd-3adf-b1d5-32cc8bd07ebb,Maricarmen Partida,F,GENERAL PRACTICE,275 SANDWICH STREET,PLYMOUTH,MA,02360,1
67c27926-88b7-446d-9001-8e0ab6d0f19a,b0e04623-b02c-3f8b-92ea-943fc4db60da,Ignacio Towne,M,GENERAL PRACTICE,295 VARNUM AVENUE,LOWELL,MA,01854,1
8a3d0dbb-b761-4010-a95f-09c65cf1a23b,d692e283-0833-3201-8e55-4f868a9c0736,Lane Jacobi,M,GENERAL PRACTICE,585 LEBANON STREET,MELROSE,MA,02176,3
d682924e-e067-40b7-b765-dc3e909c5463,cb6a50e0-af76-3758-99ad-3200ede03fff,Macie Bauch,F,GENERAL PRACTICE,330 BROOKLINE AVENUE,BOSTON,MA,02215,1
94864044-008d-475d-86be-3141493642d0,e44f438a-601b-30fb-85eb-bfaf8ddcb5ad,Shauna Lindgren,F,GENERAL PRACTICE,242 GREEN STREET,GARDNER,MA,01440,1
