Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
9610d147-8dbe-4999-90aa-e72c4383c94e,1990-12-26,,999-73-8819,S99911377,X69647789X,Mr.,Ervin886,Bartoletti50,,,M,white,irish,M,Methuen Town  Massachusetts  US,1061 Monahan Gardens Suite 13,West Springfield Town,Massachusetts,01089
bdc385ba-b0f3-4b25-a922-a3694ab73f87,1994-10-15,,999-16-6540,S99921064,X82189079X,Mr.,Ali918,Hickle134,,,,white,italian,M,Somerville  Massachusetts  US,103 Quitzon Walk,Boston,Massachusetts,02108
a714a550-8e15-464b-930b-c2619be504a3,1980-10-20,,999-90-6811,S99911086,X39727257X,Mrs.,Li461,Schamberger479,,Funk324,M,white,irish,F,Natick  Massachusetts  US,370 Mills Promenade Suite 48,Westfield,Massachusetts,01085
9f88b8e0-f9dc-4ce3-afdf-781a06d80b0b,1973-10-30,,999-66-5493,S99969802,X26506242X,Ms.,Ma484,Olson653,,,S,white,american,F,Melrose  Massachusetts  US,993 Ledner Corner Suite 65,Norton,Massachusetts,02766
268d07e8-2042-4258-9eeb-4a0497879e2b,1989-03-04,,999-66-1583,S99994857,X61532526X,Mrs.,Pansy803,Roberts511,,Jenkins714,M,white,italian,F,Newton  Massachusetts  US,211 Buckridge Boulevard Apt 61,Lowell,Massachusetts,01850
e623221a-3736-47be-b84b-3359ec33a33f,1963-03-28,,999-20-9187,S99979815,X8169202X,Mr.,Chadwick722,Stokes453,,,M,white,irish,M,Holden  Massachusetts  US,881 Blick Parade Suite 42,East Longmeadow,Massachusetts,01028
0749b81c-9447-4b14-8e3c-a3486baae919,1956-07-07,,999-26-2927,S99943624,X46605569X,Mrs.,Althea11,Feest103,,Lockman863,M,white,american,F,Somerville  Massachusetts  US,779 Jaskolski Rue,Bolton,Massachusetts,01740
bb911012-067c-4ca8-ab77-8cf561ec3076,2015-11-16,,999-10-3036,,,,Booker670,Zieme486,,,,white,greek,M,Ashland  Massachusetts  US,299 Smitham Corner,Orange,Massachusetts,01364
ed94b75d-7282-4b27-8ffd-6f69e6843e1b,2013-01-27,,999-64-7064,,,,Donnie175,Herzog843,,,,white,swedish,M,Chelsea  Massachusetts  US,703 Frami Extension Apt 6,Agawam Town,Massachusetts,01001
f6b83525-b3cb-4138-ba85-a3691ce296e9,2011-07-24,,999-68-9194,,,,Darrel772,Denesik803,,,,white,scottish,M,Worcester  Massachusetts  US,104 Wehner Fork Suite 67,New Bedford,Massachusetts,02740
